2023-02-12T16:44:13+00:00 INFO Start-Cartflows_Admin_Report_Emails::send_weekly_report_email
2023-02-12T16:44:13+00:00 INFO Send weekly emails to a4aneudy@gmail.com
2023-02-12T16:44:13+00:00 INFO Total Revenue: 0.00
2023-02-12T16:44:27+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:44:28+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:03+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:06+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:17+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:19+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:21+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:23+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:49:23+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:50:24+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:51:25+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:52:25+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:53:26+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:53:59+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:54:41+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:54:42+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:54:46+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:55:01+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:56:02+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:57:03+00:00 INFO Is weekly report enabled: enable
2023-02-12T16:59:03+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:01:04+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:03:05+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:05:12+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:10:36+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:10:37+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:11:39+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:12:18+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:12:51+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:13:53+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:14:53+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:16:54+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:18:55+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:20:56+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:22:57+00:00 INFO Is weekly report enabled: enable
2023-02-12T17:24:57+00:00 INFO Is weekly report enabled: enable
